SCHOOL_CODE,SCHOOL_NAME,NETWORK
310197,TALCOTT SUM,
910249,TALMAN EVE,
910249,TALMAN EVE,
310249,TALMAN SUM,
310249,TALMAN SUM,
910279,TANNER EVE,
910279,TANNER EVE,
310279,TANNER SUM,
310279,TANNER SUM,
910396,TARKINGTON EVE,
910396,TARKINGTON EVE,
310396,TARKINGTON SUM,
310396,TARKINGTON SUM,
910198,TAYLOR EVE,
910198,TAYLOR EVE,
310198,TAYLOR SUM,
310198,TAYLOR SUM,
850097,TEDDY BEAR NURSERY SCHOOL INC I,
850097,TEDDY BEAR NURSERY SCHOOL INC I,
850098,TEDDY BEAR NURSERY SCHOOL INC II,
850098,TEDDY BEAR NURSERY SCHOOL INC II,
850099,TEDDY BEAR NURSERY SCHOOL INC III,
850099,TEDDY BEAR NURSERY SCHOOL INC III,
850100,TEDDY BEAR NURSERY SCHOOL INC V,
850100,TEDDY BEAR NURSERY SCHOOL INC V,
850016,TEENY TINY UNIVERSITY,
850016,TEENY TINY UNIVERSITY,
800265,TELOS,
800265,TELOS,
909921,TELPOCHCALLI EVE,
909921,TELPOCHCALLI EVE,
309921,TELPOCHCALLI SUM,
309921,TELPOCHCALLI SUM,
850051,THE BABY ACADEMY,
850051,THE BABY ACADEMY,
800232,THE CAMPHILL SCHOOL ES,
800232,THE CAMPHILL SCHOOL ES,
800233,THE CAMPHILL SCHOOL HS,
800233,THE CAMPHILL SCHOOL HS,
850230,THE CHILDREN'S GARDEN ACADEMY,
850230,THE CHILDREN'S GARDEN ACADEMY,
850003,THE CHILDRENS CENTER INC,
850003,THE CHILDRENS CENTER INC,
850226,THE GIVING TREE,
850226,THE GIVING TREE,
910504,THOMAS EVE,
910504,THOMAS EVE,
310504,THOMAS SUM,
310504,THOMAS SUM,
910200,THORP J EVE,
910200,THORP J EVE,
310200,THORP J SUM,
310200,THORP J SUM,
910201,THORP O EVE,
910201,THORP O EVE,
310201,THORP O SUM,
310201,THORP O SUM,
800125,THRESHOLDS-LOREN JUHL HS,
800125,THRESHOLDS-LOREN JUHL HS,
909735,TILDEN HS EVE,
909735,TILDEN HS EVE,
309735,TILDEN HS SUM,
309735,TILDEN HS SUM,
910065,TILL EVE,
910065,TILL EVE,
310065,TILL SUM,
310065,TILL SUM,
910202,TILTON EVE,
910202,TILTON EVE,
310202,TILTON SUM,
310202,TILTON SUM,
910203,TONTI EVE,
910203,TONTI EVE,
310203,TONTI SUM,
310203,TONTI SUM,
850205,TRINITY UNITED CHURCH OF CHRIST - BROOKS,
850205,TRINITY UNITED CHURCH OF CHRIST - BROOKS,
850206,TRINITY UNITED CHURCH OF CHRIST - WRIGHT,
850206,TRINITY UNITED CHURCH OF CHRIST - WRIGHT,
850207,TRUE TO LIFE FOUNDATION COMM GRP,
850207,TRUE TO LIFE FOUNDATION COMM GRP,
909773,TUBMAN EVE,
909773,TUBMAN EVE,
309773,TUBMAN SUM,
309773,TUBMAN SUM,
850208,TUESDAYS CHILD,
850208,TUESDAYS CHILD,
909895,TURNER-DREW EVE,
909895,TURNER-DREW EVE,
309895,TURNER-DREW SUM,
309895,TURNER-DREW SUM,
910206,TWAIN EVE,
910206,TWAIN EVE,
310206,TWAIN SUM,
310206,TWAIN SUM,
800024,UCAN Cal Park Therapeutic HS,
800024,UCAN Cal Park Therapeutic HS,
800027,UCAN SOUTH ES,
800027,UCAN SOUTH ES,
800028,UCAN SOUTH HS,
800028,UCAN SOUTH HS,
800015,UCAN THERAPEUTIC ES,
800015,UCAN THERAPEUTIC ES,
800016,UCAN THERAPEUTIC HS,
800016,UCAN THERAPEUTIC HS,
910394,UPLIFT HS EVE,
910394,UPLIFT HS EVE,
310394,UPLIFT HS SUM,
310394,UPLIFT HS SUM,
9,VA EXPANDED ACCESS HS,
9,VA EXPANDED ACCESS HS,
300009,VA EXPANDED ACCESS HS SUM,
300009,VA EXPANDED ACCESS HS SUM,
910207,VANDERPOEL EVE,
910207,VANDERPOEL EVE,
310207,VANDERPOEL SUM,
310207,VANDERPOEL SUM,
909766,VAUGHN HS EVE,
909766,VAUGHN HS EVE,
309766,VAUGHN HS SUM,
309766,VAUGHN HS SUM,
909871,VICK EVE,
909871,VICK EVE,
309871,VICK SUM,
309871,VICK SUM,
910596,VIRTUAL ACADEMY ES EVE,
910596,VIRTUAL ACADEMY ES EVE,
310596,VIRTUAL ACADEMY ES SUM,
310596,VIRTUAL ACADEMY ES SUM,
910597,VIRTUAL ACADEMY HS EVE,
910597,VIRTUAL ACADEMY HS EVE,
310597,VIRTUAL ACADEMY HS SUM,
310597,VIRTUAL ACADEMY HS SUM,
910209,VOLTA EVE,
910209,VOLTA EVE,
310209,VOLTA SUM,
310209,VOLTA SUM,
910039,VON LINNE EVE,
910039,VON LINNE EVE,
310039,VON LINNE SUM,
310039,VON LINNE SUM,
909737,VON STEUBEN HS EVE,
909737,VON STEUBEN HS EVE,
309737,VON STEUBEN HS SUM,
309737,VON STEUBEN HS SUM,
910366,WACKER EVE,
910366,WACKER EVE,
310366,WACKER SUM,
310366,WACKER SUM,
910213,WADSWORTH EVE,
910213,WADSWORTH EVE,
310213,WADSWORTH SUM,
310213,WADSWORTH SUM,
910216,WALSH EVE,
910216,WALSH EVE,
310216,WALSH SUM,
310216,WALSH SUM,
800208,WALTER LAWSON CHILDREN'S HOME ES,
800208,WALTER LAWSON CHILDREN'S HOME ES,
800209,WALTER LAWSON CHILDREN'S HOME HS,
800209,WALTER LAWSON CHILDREN'S HOME HS,
910217,WARD J EVE,
910217,WARD J EVE,
310217,WARD J SUM,
310217,WARD J SUM,
910133,WARD L EVE,
910133,WARD L EVE,
310133,WARD L SUM,
310133,WARD L SUM,
910218,WARREN EVE,
910218,WARREN EVE,
310218,WARREN SUM,
310218,WARREN SUM,
910219,WASHINGTON G ES EVE,
910219,WASHINGTON G ES EVE,
310219,WASHINGTON G ES SUM,
310219,WASHINGTON G ES SUM,
910124,WASHINGTON H ES EVE,
910124,WASHINGTON H ES EVE,
310124,WASHINGTON H ES SUM,
310124,WASHINGTON H ES SUM,
909739,WASHINGTON HS EVE,
909739,WASHINGTON HS EVE,
309739,WASHINGTON HS SUM,
309739,WASHINGTON HS SUM,
910220,WATERS EVE,
910220,WATERS EVE,
310220,WATERS SUM,
310220,WATERS SUM,
910221,WEBSTER EVE,
910221,WEBSTER EVE,
310221,WEBSTER SUM,
310221,WEBSTER SUM,
800228,WEDIKO SCHOOL - INTENSIVE ES,
800228,WEDIKO SCHOOL - INTENSIVE ES,
800229,WEDIKO SCHOOL - INTENSIVE HS,
800229,WEDIKO SCHOOL - INTENSIVE HS,
800226,WEDIKO SCHOOL ES,
800226,WEDIKO SCHOOL ES,
800227,WEDIKO SCHOOL HS,
800227,WEDIKO SCHOOL HS,
910110,WELLS ES EVE,
910110,WELLS ES EVE,
310110,WELLS ES SUM,
310110,WELLS ES SUM,
909740,WELLS HS EVE,
909740,WELLS HS EVE,
309740,WELLS HS SUM,
309740,WELLS HS SUM,
910223,WENTWORTH EVE,
910223,WENTWORTH EVE,
310223,WENTWORTH SUM,
310223,WENTWORTH SUM,
910100,WEST PARK EVE,
910100,WEST PARK EVE,
310100,WEST PARK SUM,
310100,WEST PARK SUM,
910542,WEST RIDGE EVE,
910542,WEST RIDGE EVE,
310542,WEST RIDGE SUM,
310542,WEST RIDGE SUM,
910300,WESTCOTT EVE,
910300,WESTCOTT EVE,
310300,WESTCOTT SUM,
310300,WESTCOTT SUM,
909693,WESTINGHOUSE HS EVE,
909693,WESTINGHOUSE HS EVE,
309693,WESTINGHOUSE HS SUM,
309693,WESTINGHOUSE HS SUM,
910225,WHISTLER EVE,
910225,WHISTLER EVE,
310225,WHISTLER SUM,
310225,WHISTLER SUM,
910315,WHITE EVE,
910315,WHITE EVE,
310315,WHITE SUM,
310315,WHITE SUM,
910227,WHITNEY EVE,
910227,WHITNEY EVE,
310227,WHITNEY SUM,
310227,WHITNEY SUM,
910228,WHITTIER EVE,
910228,WHITTIER EVE,
310228,WHITTIER SUM,
310228,WHITTIER SUM,
850209,WHIZ KIDS NURSERY CENTER INC,
850209,WHIZ KIDS NURSERY CENTER INC,
910230,WILDWOOD EVE,
910230,WILDWOOD EVE,
310230,WILDWOOD SUM,
310230,WILDWOOD SUM,
910380,WILLIAMS HS EVE,
910380,WILLIAMS HS EVE,
310380,WILLIAMS HS SUM,
310380,WILLIAMS HS SUM,
909977,WOODLAWN EVE,
909977,WOODLAWN EVE,
309977,WOODLAWN SUM,
309977,WOODLAWN SUM,
910345,WOODSON EVE,
910345,WOODSON EVE,
